% Federal University of Technology - Parana (UTFPR)
% Academic Department of Mechanics, Campus Curitiba
% Automation
% Prof. Luis Paulo Laus, PhD

% JQM - Java Quine McCluskey

.i A,B,C,D,
A,B,C,D,,/SET,INC,/BUFADDR,LATDATA,/BUFDATA,/CS,/WE,/OE,LAD
0,0,0,0,,1,0,1,0,1,1,1,1,0
0,0,0,1,,0,0,1,0,1,1,1,1,0
0,0,1,0,,1,0,1,0,1,1,1,1,0
0,0,1,1,,1,0,0,0,1,1,1,1,0
0,1,0,0,,1,0,0,0,1,0,1,0,0
0,1,0,1,,1,0,0,0,1,0,1,0,1
0,1,1,0,,1,0,0,0,1,0,1,0,0
0,1,1,1,,1,0,1,0,1,1,1,1,0
1,0,0,0,,1,1,1,0,1,1,1,1,0
1,0,0,1,,1,0,1,1,1,1,1,1,0
1,0,1,0,,1,0,1,0,1,1,1,1,0
1,0,1,1,,1,0,0,0,0,1,1,1,0
1,1,0,0,,1,0,0,0,0,0,0,1,0
1,1,0,1,,1,0,0,0,0,0,0,1,1
1,1,1,0,,1,0,0,0,0,0,0,1,0
1,1,1,1,,1,1,1,0,1,1,1,1,0
