% Federal University of Technology - Parana (UTFPR)
% Academic Department of Mechanics, Campus Curitiba
% Automation
% Prof. Luis Paulo Laus, PhD

% JQM - Java Quine McCluskey

.i A,B,C,D,DeNx,De,ExNx,Ex,
A,B,C,D,DeNx,De,ExNx,Ex,,D_A,D_B,D_C,D_D
0,0,0,0,0,0,0,0,,0,0,0,0
0,0,0,0,0,0,0,1,,0,0,0,1
0,0,0,0,0,0,1,0,,1,0,0,0
0,0,0,0,0,0,1,1,,0,0,0,0
0,0,0,0,0,1,0,0,,1,0,0,1
0,0,0,0,0,1,0,1,,0,0,0,0
0,0,0,0,0,1,1,0,,0,0,0,0
0,0,0,0,0,1,1,1,,0,0,0,0
0,0,0,0,1,0,0,0,,1,1,1,1
0,0,0,0,1,0,0,1,,0,0,0,0
0,0,0,0,1,0,1,0,,0,0,0,0
0,0,0,0,1,0,1,1,,0,0,0,0
0,0,0,0,1,1,0,0,,0,0,0,0
0,0,0,0,1,1,0,1,,0,0,0,0
0,0,0,0,1,1,1,0,,0,0,0,0
0,0,0,0,1,1,1,1,,0,0,0,0
0,0,0,1,0,0,0,0,,0,0,1,0
0,0,0,1,0,0,0,1,,0,0,1,0
0,0,0,1,0,0,1,0,,0,0,1,0
0,0,0,1,0,0,1,1,,0,0,1,0
0,0,0,1,0,1,0,0,,0,0,1,0
0,0,0,1,0,1,0,1,,0,0,1,0
0,0,0,1,0,1,1,0,,0,0,1,0
0,0,0,1,0,1,1,1,,0,0,1,0
0,0,0,1,1,0,0,0,,0,0,1,0
0,0,0,1,1,0,0,1,,0,0,1,0
0,0,0,1,1,0,1,0,,0,0,1,0
0,0,0,1,1,0,1,1,,0,0,1,0
0,0,0,1,1,1,0,0,,0,0,1,0
0,0,0,1,1,1,0,1,,0,0,1,0
0,0,0,1,1,1,1,0,,0,0,1,0
0,0,0,1,1,1,1,1,,0,0,1,0
0,0,1,0,0,0,0,0,,0,0,1,1
0,0,1,0,0,0,0,1,,0,0,1,1
0,0,1,0,0,0,1,0,,0,0,1,1
0,0,1,0,0,0,1,1,,0,0,1,1
0,0,1,0,0,1,0,0,,0,0,1,1
0,0,1,0,0,1,0,1,,0,0,1,1
0,0,1,0,0,1,1,0,,0,0,1,1
0,0,1,0,0,1,1,1,,0,0,1,1
0,0,1,0,1,0,0,0,,0,0,1,1
0,0,1,0,1,0,0,1,,0,0,1,1
0,0,1,0,1,0,1,0,,0,0,1,1
0,0,1,0,1,0,1,1,,0,0,1,1
0,0,1,0,1,1,0,0,,0,0,1,1
0,0,1,0,1,1,0,1,,0,0,1,1
0,0,1,0,1,1,1,0,,0,0,1,1
0,0,1,0,1,1,1,1,,0,0,1,1
0,0,1,1,0,0,0,0,,0,1,0,0
0,0,1,1,0,0,0,1,,0,1,0,0
0,0,1,1,0,0,1,0,,0,1,0,0
0,0,1,1,0,0,1,1,,0,1,0,0
0,0,1,1,0,1,0,0,,0,1,0,0
0,0,1,1,0,1,0,1,,0,1,0,0
0,0,1,1,0,1,1,0,,0,1,0,0
0,0,1,1,0,1,1,1,,0,1,0,0
0,0,1,1,1,0,0,0,,0,1,0,0
0,0,1,1,1,0,0,1,,0,1,0,0
0,0,1,1,1,0,1,0,,0,1,0,0
0,0,1,1,1,0,1,1,,0,1,0,0
0,0,1,1,1,1,0,0,,0,1,0,0
0,0,1,1,1,1,0,1,,0,1,0,0
0,0,1,1,1,1,1,0,,0,1,0,0
0,0,1,1,1,1,1,1,,0,1,0,0
0,1,0,0,0,0,0,0,,0,1,0,1
0,1,0,0,0,0,0,1,,0,1,0,1
0,1,0,0,0,0,1,0,,0,1,0,1
0,1,0,0,0,0,1,1,,0,1,0,1
0,1,0,0,0,1,0,0,,0,1,0,1
0,1,0,0,0,1,0,1,,0,1,0,1
0,1,0,0,0,1,1,0,,0,1,0,1
0,1,0,0,0,1,1,1,,0,1,0,1
0,1,0,0,1,0,0,0,,0,1,0,1
0,1,0,0,1,0,0,1,,0,1,0,1
0,1,0,0,1,0,1,0,,0,1,0,1
0,1,0,0,1,0,1,1,,0,1,0,1
0,1,0,0,1,1,0,0,,0,1,0,1
0,1,0,0,1,1,0,1,,0,1,0,1
0,1,0,0,1,1,1,0,,0,1,0,1
0,1,0,0,1,1,1,1,,0,1,0,1
0,1,0,1,0,0,0,0,,0,1,1,0
0,1,0,1,0,0,0,1,,0,1,1,0
0,1,0,1,0,0,1,0,,0,1,1,0
0,1,0,1,0,0,1,1,,0,1,1,0
0,1,0,1,0,1,0,0,,0,1,1,0
0,1,0,1,0,1,0,1,,0,1,1,0
0,1,0,1,0,1,1,0,,0,1,1,0
0,1,0,1,0,1,1,1,,0,1,1,0
0,1,0,1,1,0,0,0,,0,1,1,0
0,1,0,1,1,0,0,1,,0,1,1,0
0,1,0,1,1,0,1,0,,0,1,1,0
0,1,0,1,1,0,1,1,,0,1,1,0
0,1,0,1,1,1,0,0,,0,1,1,0
0,1,0,1,1,1,0,1,,0,1,1,0
0,1,0,1,1,1,1,0,,0,1,1,0
0,1,0,1,1,1,1,1,,0,1,1,0
0,1,1,0,0,0,0,0,,0,0,0,0
0,1,1,0,0,0,0,1,,0,1,1,1
0,1,1,0,0,0,1,0,,0,1,1,1
0,1,1,0,0,0,1,1,,0,1,1,1
0,1,1,0,0,1,0,0,,0,1,1,1
0,1,1,0,0,1,0,1,,0,1,1,1
0,1,1,0,0,1,1,0,,0,1,1,1
0,1,1,0,0,1,1,1,,0,1,1,1
0,1,1,0,1,0,0,0,,0,1,1,1
0,1,1,0,1,0,0,1,,0,1,1,1
0,1,1,0,1,0,1,0,,0,1,1,1
0,1,1,0,1,0,1,1,,0,1,1,1
0,1,1,0,1,1,0,0,,0,1,1,1
0,1,1,0,1,1,0,1,,0,1,1,1
0,1,1,0,1,1,1,0,,0,1,1,1
0,1,1,0,1,1,1,1,,0,1,1,1
0,1,1,1,0,0,0,0,,0,0,0,0
0,1,1,1,0,0,0,1,,0,1,1,1
0,1,1,1,0,0,1,0,,0,1,1,1
0,1,1,1,0,0,1,1,,0,1,1,1
0,1,1,1,0,1,0,0,,0,1,1,1
0,1,1,1,0,1,0,1,,0,1,1,1
0,1,1,1,0,1,1,0,,0,1,1,1
0,1,1,1,0,1,1,1,,0,1,1,1
0,1,1,1,1,0,0,0,,0,1,1,1
0,1,1,1,1,0,0,1,,0,1,1,1
0,1,1,1,1,0,1,0,,0,1,1,1
0,1,1,1,1,0,1,1,,0,1,1,1
0,1,1,1,1,1,0,0,,0,1,1,1
0,1,1,1,1,1,0,1,,0,1,1,1
0,1,1,1,1,1,1,0,,0,1,1,1
0,1,1,1,1,1,1,1,,0,1,1,1
1,0,0,0,0,0,0,0,,0,0,1,0
1,0,0,0,0,0,0,1,,0,0,1,0
1,0,0,0,0,0,1,0,,0,0,1,0
1,0,0,0,0,0,1,1,,0,0,1,0
1,0,0,0,0,1,0,0,,0,0,1,0
1,0,0,0,0,1,0,1,,0,0,1,0
1,0,0,0,0,1,1,0,,0,0,1,0
1,0,0,0,0,1,1,1,,0,0,1,0
1,0,0,0,1,0,0,0,,0,0,1,0
1,0,0,0,1,0,0,1,,0,0,1,0
1,0,0,0,1,0,1,0,,0,0,1,0
1,0,0,0,1,0,1,1,,0,0,1,0
1,0,0,0,1,1,0,0,,0,0,1,0
1,0,0,0,1,1,0,1,,0,0,1,0
1,0,0,0,1,1,1,0,,0,0,1,0
1,0,0,0,1,1,1,1,,0,0,1,0
1,0,0,1,0,0,0,0,,1,0,1,0
1,0,0,1,0,0,0,1,,1,0,1,0
1,0,0,1,0,0,1,0,,1,0,1,0
1,0,0,1,0,0,1,1,,1,0,1,0
1,0,0,1,0,1,0,0,,1,0,1,0
